Index,length_sum,length_mean,travel_time,count,max
9151,99679.64676,341.3686533,40.96423839,132,0.358930123
9152,337203.2006,72.98770576,8.511655397,3391,0.309783647
9153,143800.0998,266.2964811,31.89841535,418,0.272176807
9154,153499.7233,162.950874,19.46415486,392,0.432068495
9155,358923.3113,323.9380066,36.76834344,411,0.452599993
9156,72198.35863,279.8385993,33.58063192,111,0.405205623
9157,279680.8499,141.8259888,16.79524411,1532,0.342525195
9158,245078.9922,126.4597483,14.77401949,1424,0.231187608
9159,179963.2192,399.9182648,46.90146351,186,0.380463356
9160,82638.79428,547.2767833,65.673214,129,0.45766235
9161,97707.83983,127.8898427,13.62598866,298,0.344604087
9162,55861.33934,146.2338726,14.10647978,297,0.343718783
9163,81918.52684,186.1784701,22.34141641,181,0.363796002
9164,256507.3683,345.6972619,41.17611924,285,0.397794299
9165,101252.7925,229.0787162,27.48944594,179,0.349151465
9166,144636.0527,311.7156307,37.40587569,189,0.30615334
9167,133243.1865,301.4551731,36.17462077,196,0.481868771
9168,109830.7905,287.5151585,33.33163959,164,0.301851487
9169,406140.6581,268.2567095,31.28725022,600,0.427950144
9170,203070.3291,268.6115464,31.32447825,599,0.427824257
9171,65837.94701,215.8621213,25.90345456,245,0.317037027
9172,151424.5505,178.9888304,20.79587801,371,0.472277642
9173,49052.71348,119.6407646,14.35689175,178,0.272687063
9174,53597.21863,216.117817,25.93413805,214,0.492086976
9175,42509.56122,87.64857983,10.51782958,375,0.39956597
9176,154760.5265,176.2648366,21.15178039,338,0.451224853
9177,214408.6952,219.6810401,25.239643,408,0.349102031
9178,471183.1457,259.1766478,30.63281395,732,0.433257599
9179,83243.99507,253.7926679,30.45512015,274,0.245966689
9180,192922.7319,357.2643183,42.85671258,222,0.42537418
9181,116736.5486,403.9326942,48.47192331,242,0.427607408
9182,272756.209,422.8778435,50.74534122,521,0.389805026
9183,143891.6035,205.5594335,22.96409921,287,0.412740236
9184,74514.43389,216.6117264,22.52793343,287,0.412740236
9185,224002.1147,203.4533285,24.0664956,884,0.37790322
9186,44282.78159,354.2622527,42.51147033,113,0.238663942
9187,153252.0798,127.074693,14.80420381,486,0.361767187
9188,104372.2714,133.8106044,15.85212244,291,0.342007087
